Sample	Sample_number	Location	Mosquito_species	Analysis	GS_copies	BMRV_copies	BMSV_copies	BMBV1_copies	BMBV2_copies	BMOV1_copies	BMOV2_copies
MOS20qBu20KC_106	106	Buea	Ae. albopictus	qPCR	0	0	0	0	0	0	0
MOS20qBu20KC_107	107	Buea	Ae. albopictus	qPCR	0	0	0	0	0	0	0
MOS20qBu20KC_108	108	Buea	Ae. albopictus	qPCR	380618520.691367	0	0	0	0	0	0
MOS20qBu20KC_109	109	Buea	Ae. albopictus	qPCR	6798.80468419031	0	0	0	0	0	0
MOS20qBu20KC_110	110	Buea	Ae. albopictus	qPCR	70355.3043513535	0	0	0	0	0	0
MOS20qBu20KC_111	111	Buea	Ae. albopictus	qPCR	225782.466452944	0	19898.1001977323	0	28482.3316678863	0	0
MOS20qBu20KC_112	112	Buea	Ae. albopictus	qPCR	713833591.977572	0	0	0	0	0	0
MOS20qBu20KC_113	113	Buea	Ae. albopictus	qPCR	1003818820.90615	0	0	0	0	0	0
MOS20qBu20KC_114	114	Buea	Ae. albopictus	qPCR	440769213.691388	0	0	0	0	0	0
MOS20qBu20KC_115	115	Buea	Ae. albopictus	qPCR	23829.153865328	0	0	0	0	0	0
MOS20qBu20KC_116	116	Buea	Ae. albopictus	qPCR	3804.64366787545	0	0	0	0	0	0
MOS20qBu20KC_117	117	Buea	Ae. albopictus	qPCR	323233719.129584	0	0	0	0	0	1677.18819444775
MOS20qBu20KC_118	118	Buea	Ae. albopictus	qPCR	562066156.847751	0	0	0	3376.72858985804	0	1932.31701420435
MOS20qBu20KC_119	119	Buea	Ae. albopictus	qPCR	13719.9912526493	0	0	0	0	0	0
MOS20qBu20KC_120	120	Buea	Ae. albopictus	qPCR	26650.5333705117	0	0	0	0	0	0
MOS20qBu20KC_121	121	Buea	Ae. albopictus	qPCR	109030.297053508	0	0	0	0	0	0
MOS20qBu20KC_122	122	Buea	Ae. albopictus	qPCR	57249.1598410114	0	0	0	0	0	0
MOS20qBu20KC_123	123	Buea	Ae. albopictus	qPCR	1236346666.39284	0	0	0	0	0	0
MOS20qBu20KC_124	124	Buea	Ae. simpsoni	qPCR	2465.41750298647	0	0	0	0	0	0
MOS20qBu20KC_125	125	Buea	Ae. albopictus	qPCR	212730373.256476	0	0	0	0	0	0
MOS20qBu20KC_126	126	Buea	Ae. albopictus	qPCR	56149.5403403815	0	0	0	0	0	0
MOS20qBu20KC_127	127	Buea	Ae. albopictus	qPCR	17866.4823326762	0	0	0	0	0	0
MOS20qBu20KC_128	128	Buea	Ae. albopictus	qPCR	180292.654899196	0	0	0	0	0	0
